No,Tanggal,Harga,Tertinggi,Terendah,Penutupan,Volume,Nilai,Frekuensi
1,08 Des 2023,3.94,3.94,3.9,3.94,61.476.300,241.171.716.000,7.571
2,07 Des 2023,3.95,3.95,3.88,3.91,91.076.200,356.134.950.000,8.816
3,06 Des 2023,3.9,3.95,3.87,3.92,149.345.100,585.390.509.000,15.377
4,05 Des 2023,3.83,3.85,3.8,3.85,74.608.900,285.680.592.000,13.935
5,04 Des 2023,3.84,3.86,3.78,3.81,118.542.300,453.436.844.000,12.449
6,01 Des 2023,3.79,3.84,3.79,3.83,81.037.200,309.153.834.000,10.289
7,30-Nov-23,3.75,3.82,3.74,3.76,258.522.400,974.014.877.000,12.323
8,29-Nov-23,3.75,3.77,3.7,3.72,56.467.400,210.355.066.000,7.765
9,28-Nov-23,3.68,3.8,3.68,3.77,106.829.100,402.314.191.000,12.855
10,27-Nov-23,3.64,3.73,3.64,3.68,73.888.700,273.046.079.000,11.649
11,24-Nov-23,3.6,3.62,3.57,3.62,46.919.500,169.085.804.000,4.543
12,23-Nov-23,3.61,3.63,3.59,3.6,57.385.100,206.992.039.000,5.432
13,22-Nov-23,3.61,3.63,3.59,3.61,34.555.300,124.690.273.000,4.141
14,21-Nov-23,3.59,3.62,3.58,3.62,68.255.800,245.814.067.000,6.731
15,20-Nov-23,3.56,3.6,3.54,3.59,49.528.300,177.317.138.000,6.887
16,17-Nov-23,3.53,3.55,3.48,3.55,55.585.600,195.794.189.000,7.59
17,16-Nov-23,3.55,3.55,3.51,3.54,68.993.000,243.481.056.000,7.245
18,15-Nov-23,3.52,3.57,3.52,3.55,114.104.500,404.620.944.000,8.1
19,14-Nov-23,3.5,3.54,3.5,3.5,45.987.000,161.413.200.000,8.651
20,13-Nov-23,3.57,3.57,3.51,3.52,47.728.400,168.511.972.000,9.275
21,10-Nov-23,3.52,3.55,3.49,3.55,48.619.500,171.020.558.000,7.296
22,9-Nov-23,3.5,3.57,3.5,3.53,96.594.900,342.061.178.000,10.739
23,8-Nov-23,3.52,3.54,3.5,3.52,104.102.000,366.084.558.000,13.622
24,7-Nov-23,3.6,3.61,3.55,3.57,103.642.200,370.072.601.000,10.773
